,Source,Target,Type,RawWeight,Weight
723,19,45,Undirected,4,0
724,21,45,Undirected,3,0
725,18,46,Undirected,5,0
726,18,47,Undirected,4,0
727,18,48,Undirected,8,0
728,18,49,Undirected,2,0
729,14,46,Undirected,1,0
730,34,46,Undirected,6,0
731,46,47,Undirected,1,0
732,46,48,Undirected,3,0.238882088915137
733,46,49,Undirected,2,0.761760834195474
734,19,46,Undirected,3,0
735,21,46,Undirected,5,0
736,14,47,Undirected,4,0
737,14,48,Undirected,4,0
738,14,49,Undirected,2,0.363820825523437
739,34,47,Undirected,12,0
740,34,48,Undirected,14,0
741,34,49,Undirected,3,0
742,47,48,Undirected,4,0
743,47,49,Undirected,1,0
744,19,47,Undirected,12,0
745,21,47,Undirected,10,0
746,48,49,Undirected,2,0.363820825523437
747,19,48,Undirected,12,0
748,21,48,Undirected,11,0
749,19,49,Undirected,2,0
750,21,49,Undirected,3,0
751,1,25,Undirected,27,0
752,1,26,Undirected,9,0
753,1,34,Undirected,26,0
754,1,48,Undirected,10,0
755,1,50,Undirected,2,0
756,1,51,Undirected,5,0
757,1,37,Undirected,6,0
758,1,38,Undirected,13,0
759,1,52,Undirected,2,0
760,4,50,Undirected,2,0
761,4,51,Undirected,8,0
762,4,52,Undirected,2,0
763,3,50,Undirected,2,0
764,3,51,Undirected,8,0
765,3,52,Undirected,2,0
766,17,25,Undirected,7,0
767,25,50,Undirected,2,0
768,25,51,Undirected,7,0
769,25,52,Undirected,1,0
770,17,26,Undirected,4,0
771,26,50,Undirected,1,0
772,26,51,Undirected,4,0
773,26,52,Undirected,1,0
774,8,50,Undirected,2,0
775,8,51,Undirected,7,0
776,8,52,Undirected,1,0
777,7,50,Undirected,2,0
778,7,51,Undirected,6,0
779,7,52,Undirected,1,0
780,5,50,Undirected,2,0.26884531229258
781,5,51,Undirected,6,0
782,5,52,Undirected,2,0.26884531229258
783,17,34,Undirected,5,0
784,34,50,Undirected,2,0
785,34,51,Undirected,8,0
786,34,52,Undirected,2,0
787,13,48,Undirected,7,0
